Id,BlanketOrderId,BlanketId,RollBlanketUsage,RollBlanketDefect,TotalCost,BarCost,AdhesiveCost,RollBlanketCost,IsCut,IsSideSealed,IsBarPrepared,IsAdhesiveTapeApplied,IsBarMounted,IsBarHeatPressed,IsBarPullOffTested,IsQCAndMarked,IsPackaged,IsRejected,RejectedDate,IsJobScheduled,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
132,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:35,,2015-04-27 21:54:56
133,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:39,,2015-04-27 21:55:05
134,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:43,,2015-04-27 21:55:08
135,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:48,,2015-04-27 21:55:12
136,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:53,,2015-04-27 21:55:16
137,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:43:59,,2015-04-27 21:55:20
138,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:44:05,,2015-04-27 21:55:23
139,8,1387,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:44:10,,2015-04-27 21:55:30
140,9,1063,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:47:31,,
141,9,1063,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:47:39,,
142,9,1063,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:47:45,,
143,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:49:43,,
144,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:08,,
145,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:13,,
146,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:17,,
147,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:23,,
148,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:27,,
149,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:32,,
150,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:36,,
151,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:40,,
152,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:45,,
153,10,1193,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:50:50,,
154,11,1264,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:51:22,,
155,11,1264,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:51:28,,
156,11,1264,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:51:33,,
157,11,1264,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:51:39,,
158,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:15,,
159,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:22,,
160,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:29,,
161,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:35,,
162,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:42,,
163,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:48,,
164,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:53,,
165,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:52:58,,
166,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:02,,
167,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:06,,
168,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:10,,
169,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:15,,
170,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:19,,
171,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:24,,
172,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:30,,
173,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:34,,
174,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:39,,
175,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:44,,
176,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:53:48,,
177,12,1568,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:53:59,,2015-01-17 09:54:05
178,13,4992,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:55:19,,
179,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:55:45,,
180,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:05,,
181,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:10,,
182,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:14,,
183,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:20,,
184,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:25,,
185,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:30,,
186,14,1121,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:56:52,,
187,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:57:37,,2015-03-22 22:53:26
188,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:58:59,,2015-03-22 22:53:30
189,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:59:03,,2015-03-22 22:53:33
190,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:59:08,,2015-03-22 22:53:39
191,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:59:14,,2015-03-22 22:53:37
192,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:59:22,,2015-03-22 22:53:48
193,15,1213,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:59:26,,2015-03-22 22:53:45
