Id,NomorSurat,ContactId,CurrencyId,Rate,AmountReceivable,Tax,DPP,InvoiceDate,CreatedAt,UpdatedAt,DeletedAt
206,002.14.87583862,978,2,12038,646.25,64.63,587.5,2014-11-04,2014-12-19 12:04:06,,
207,002.14.87583863,978,3,15261.5,152.9,15.29,139,2014-11-04,2014-12-19 12:04:06,,
208,002.14.87583864,978,3,15261.5,900.68,90.07,818.8,2014-11-04,2014-12-19 12:04:06,,
209,002.14.87583923,978,2,12109,173.8,17.38,158,2014-11-07,2014-12-19 12:04:07,,
210,002.14.87583924,978,2,12109,775.5,77.55,705,2014-11-07,2014-12-19 12:04:07,,
211,002.14.87583925,978,2,12109,78.76,7.88,71.6,2014-11-07,2014-12-19 12:04:07,,
212,002.14.87583926,978,2,12109,330,33,300,2014-11-07,2014-12-19 12:04:07,,
213,002.14.87583927,978,2,12109,231,23.1,210,2014-11-07,2014-12-19 12:04:07,,
214,002.14.87583928,978,2,12109,1029.6,102.96,936,2014-11-07,2014-12-19 12:04:07,,
215,002.14.87583929,978,2,12109,1100,110,1000,2014-11-07,2014-12-19 12:04:07,,
216,002.14.87583930,978,3,15224.37,900.68,90.07,818.8,2014-11-07,2014-12-19 12:04:07,,
217,002.14.87583931,978,2,12109,154,15.4,140,2014-11-07,2014-12-19 12:04:07,,
218,002.14.87583966,978,2,12109,173.8,17.38,158,2014-11-11,2014-12-19 12:04:07,,
219,002.14.87583967,978,2,12109,78.76,7.88,71.6,2014-11-11,2014-12-19 12:04:07,,
220,002.14.87583968,978,2,12109,247.5,24.75,225,2014-11-11,2014-12-19 12:04:07,,
221,002.14.87583969,978,2,12109,646.25,64.63,587.5,2014-11-11,2014-12-19 12:04:08,,
222,002.14.87583970,978,3,15224.37,136.95,13.7,124.5,2014-11-11,2014-12-19 12:04:08,,
223,002.14.87583971,978,3,15224.37,152.9,15.29,139,2014-11-11,2014-12-19 12:04:08,,
224,002.14.87583972,978,2,12109,900.9,90.09,819,2014-11-11,2014-12-19 12:04:08,,
225,002.14.87584017,978,2,12148,173.8,17.38,158,2014-11-14,2014-12-19 12:04:08,,
226,002.14.87584018,978,2,12148,247.5,24.75,225,2014-11-14,2014-12-19 12:04:08,,
227,002.14.87584019,978,2,12148,258.5,25.85,235,2014-11-14,2014-12-19 12:04:08,,
228,002.14.87584020,978,3,15145.63,152.9,15.29,139,2014-11-14,2014-12-19 12:04:08,,
229,002.14.87584021,978,3,15145.63,183.15,18.32,166.5,2014-11-14,2014-12-19 12:04:08,,
230,002.14.87584060,978,2,12148,86.9,8.69,79,2014-11-18,2014-12-19 12:04:08,,
231,002.14.87584061,978,2,12148,495,49.5,450,2014-11-18,2014-12-19 12:04:08,,
232,002.14.87584062,978,2,12148,655.6,65.56,596,2014-11-18,2014-12-19 12:04:08,,
233,002.14.87584063,978,3,15145.63,1801.36,180.14,1637.6,2014-11-18,2014-12-19 12:04:09,,
234,002.14.87584120,978,2,12206,260.7,26.07,237,2014-11-21,2014-12-19 12:04:09,,
235,002.14.87584121,978,2,12206,78.76,7.88,71.6,2014-11-21,2014-12-19 12:04:09,,
236,002.14.87584122,978,2,12206,247.5,24.75,225,2014-11-21,2014-12-19 12:04:09,,
237,002.14.87584123,978,2,12206,646.25,64.63,587.5,2014-11-21,2014-12-19 12:04:09,,
238,002.14.87584124,978,3,15243.57,152.9,15.29,139,2014-11-21,2014-12-19 12:04:09,,
239,002.14.87584125,978,2,12206,1287,128.7,1170,2014-11-21,2014-12-19 12:04:09,,
240,002.14.87584126,978,2,12206,687.5,68.75,625,2014-11-21,2014-12-19 12:04:09,,
241,002.14.87584127,978,2,12206,687.5,68.75,625,2014-11-21,2014-12-19 12:04:09,,
242,002.14.87584128,978,3,15243.57,3602.72,360.27,3275.2,2014-11-21,2014-12-19 12:04:09,,
243,002.14.87584129,978,2,12206,385,38.5,350,2014-11-21,2014-12-19 12:04:09,,
244,002.14.87584130,978,2,12206,2013,201.3,1830,2014-11-21,2014-12-19 12:04:10,,
245,002.14.87584157,978,2,12206,86.9,8.69,79,2014-11-25,2014-12-19 12:04:10,,
246,002.14.87584158,978,2,12206,330,33,300,2014-11-25,2014-12-19 12:04:10,,
247,002.14.87584159,978,2,12206,387.75,38.78,352.5,2014-11-25,2014-12-19 12:04:10,,
248,002.14.87584216,978,2,12158,86.9,8.69,79,2014-11-28,2014-12-19 12:04:10,,
249,002.14.87584217,978,2,12158,412.5,41.25,375,2014-11-28,2014-12-19 12:04:10,,
250,002.14.87584218,978,2,12158,794.2,79.42,722,2014-11-28,2014-12-19 12:04:10,,
251,003.14.64493381,978,3,15160.27,152.9,15.29,139,2014-11-28,2014-12-19 12:04:10,,
252,003.14.64493382,978,2,12158,346.5,34.65,315,2014-11-28,2014-12-19 12:04:10,,
253,1907,4,1,1,3642139.2,364213.92,3277925.28,2009-08-07,2014-12-19 12:04:10,,
254,1908,4,1,1,1985264.4,198526.44,1786737.96,2009-08-07,2014-12-19 12:04:10,,
255,002.14.87583865,981,2,12038,3003,300.3,2730,2014-11-04,2014-12-19 12:04:11,,
256,002.14.87584076,981,2,12206,640.2,64.02,582,2014-11-19,2014-12-19 12:04:11,,
257,002.14.87584077,981,2,12206,2402.4,240.24,2184,2014-11-19,2014-12-19 12:04:11,,
258,002.14.87584156,981,2,12206,2134,213.4,1940,2014-11-25,2014-12-19 12:04:11,,
259,002.14.87582994,255,1,1,5381200,538120,4843080,2014-09-01,2014-12-19 12:04:11,,
260,002.14.87582995,255,1,1,8091600,809160,7282440,2014-09-01,2014-12-19 12:04:11,,
261,002.14.87582998,255,1,1,2068000,206800,1861200,2014-09-01,2014-12-19 12:04:11,,
262,002.14.87583003,255,1,1,5500000,550000,4950000,2014-09-02,2014-12-19 12:04:11,,
263,002.14.87583014,255,1,1,8492000,849200,7642800,2014-09-02,2014-12-19 12:04:12,,
264,002.14.87583031,255,1,1,2376000,237600,2138400,2014-09-03,2014-12-19 12:04:12,,
265,002.14.87583032,255,1,1,4400000,440000,3960000,2014-09-03,2014-12-19 12:04:12,,
266,002.14.87583033,255,1,1,1386000,138600,1247400,2014-09-03,2014-12-19 12:04:12,,
267,002.14.87583036,255,1,1,19254400,1925440,17328960,2014-09-03,2014-12-19 12:04:12,,
268,002.14.87583038,255,1,1,3245000,324500,2920500,2014-09-04,2014-12-19 12:04:12,,
269,002.14.87583039,255,1,1,49442800,4944280,44498520,2014-09-04,2014-12-19 12:04:12,,
270,002.14.87583040,255,1,1,20754800,2075480,18679320,2014-09-04,2014-12-19 12:04:12,,
271,002.14.87583041,255,1,1,83730900,8373090,75357810,2014-09-04,2014-12-19 12:04:13,,
272,002.14.87583055,255,1,1,1927200,192720,1734480,2014-09-05,2014-12-19 12:04:13,,
273,002.14.87583059,255,1,1,3187800,318780,2869020,2014-09-05,2014-12-19 12:04:13,,
274,002.14.87583067,255,1,1,1672000,167200,1504800,2014-09-05,2014-12-19 12:04:13,,
